Time;Age;Gender;Education;CogSci;Native_Country;Current_Country;Years_Current;Order;Dilemma1;Dilemma2;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Q1;Q2;Q3;Q4;Face1;Face2;Face3;Face4;Face5;Face6;Face7;Face8;Face9;Face10;Face11;Face12;Face13;Face14;Face15;Face16;Face17;Face18;Face19;Face20;Dilemma1;Dilemma2;;;;;;
01/05/2020 15.54.49;21;Kvinde;Gymnasial uddannelse;Ja;Danmark;Danmark;18;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;5;5;3;5;4;3;4;5;5;2;3;3;4;4;5;2;3;4;3;3;3;4;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 12.43.17;24;Kvinde;Gymnasial uddannelse;Ja;Danmark;Danmark;24;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;2;4;4;4;4;4;5;5;3;3;4;4;4;5;3;3;3;4;2;5;3;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 21.37.35;25;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;25;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Donere til fællespuljen;6;4;2;4;5;4;2;4;4;4;6;6;5;4;2;4;5;6;5;6;5;6;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 22.00.10;46;Kvinde;Kandidat;Nej;Ungarn;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;2;5;5;3;3;2;5;4;3;4;3;5;5;3;3;3;4;4;5;3;2;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
03/05/2020 22.07.19;16;Kvinde;Folkeskole;Nej;Japan;Danmark;11;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;3;4;3;3;4;2;3;4;2;3;4;4;4;4;4;4;4;2;3;4;2;3;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2020 22.17.44;52;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;52;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;6;3;3;6;6;3;3;4;6;3;3;4;6;6;4;5;5;4;5;5;6;6;5;Trække dig / sladre;Beholde pengene;;;;;;
03/05/2020 22.29.55;48;Mand;PhD;Nej;Ungarn;Danmark;11;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Beholde pengene;4;6;2;4;3;6;4;3;5;3;5;5;2;3;6;5;3;6;6;4;4;4;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 06.39.11;59;Kvinde;Folkeskole;Nej;Danmark;Danmark;59;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;2;4;3;5;3;5;6;6;3;4;5;5;6;5;3;6;4;5;6;4;6;6;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 08.21.47;43;Kvinde;PhD;Nej;Ungarn;Ungarn;43;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;3;3;5;3;6;6;6;4;4;4;3;3;3;3;3;3;2;2;3;3;3;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 08.42.55;52;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;52;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;2;3;4;6;5;3;5;3;5;5;3;4;4;5;5;5;5;3;3;3;4;5;4;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 09.19.05;16;Mand;Folkeskole;Nej;Ungarn;Danmark;10;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;1;4;4;4;5;3;3;4;4;4;4;3;4;4;4;3;3;3;4;4;5;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 09.22.45;50;Kvinde;Bachelor;Nej;Danmark;Danmark;50;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;2;3;4;4;4;5;5;3;4;4;4;5;5;5;5;4;5;5;5;5;5;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 09.58.24;49;Mand;PhD;Nej;Litauen;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 12.03.12;48;Kvinde;Bachelor;Nej;Danmark;Danmark;48;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;5;2;5;5;3;5;4;2;2;3;2;3;2;2;1;1;1;2;3;4;2;2;2;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 12.33.36;51;Kvinde;Folkeskole;Nej;Danmark;Danmark;51;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;4;4;4;4;5;3;2;2;2;2;5;4;3;2;2;2;2;2;5;4;3;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 13.20.20;40;Kvinde;Kandidat;Nej;Ungarn;Ungarn;36;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 15.18.17;46;Kvinde;Bachelor;Nej;Danmark;Danmark;46;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;6;1;4;6;6;6;6;6;6;6;5;4;6;5;5;4;3;5;5;4;3;5;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
04/05/2020 16.58.32;56;Kvinde;Kandidat;Ja;Ungarn;Danmark;10;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;2;4;4;3;5;5;5;4;4;4;5;5;4;4;4;5;4;5;4;4;5;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 18.34.27;57;Kvinde;Bachelor;Nej;Danmark;Danmark;57;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Donere til fællespuljen;3;4;3;5;4;4;3;3;4;4;5;4;4;3;4;4;4;4;4;4;5;5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 19.39.28;48;Mand;Gymnasial uddannelse;Nej;Holland;Danmark;25;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;5;6;5;6;4;5;4;5;5;6;6;5;4;5;4;4;4;5;6;5;5;6;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 20.22.44;45;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;45;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;3;6;4;4;3;4;2;2;3;2;2;3;3;1;1;2;2;4;1;2;2;Samarbejde / tie;Beholde pengene;;;;;;
04/05/2020 20.38.56;20;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;20;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Beholde pengene;4;4;3;5;6;5;3;4;4;5;5;4;5;4;4;5;4;5;6;6;5;5;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2020 21.30.09;27;Mand;Kandidat;Nej;Irak;Danmark;25;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;2;4;1;6;3;5;4;2;5;5;2;3;3;4;4;5;4;2;2;4;4;3;5;5;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 22.46.44;53;Mand;Kandidat;Nej;Danmark;Danmark;52;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;Samarbejde / tie;Donere til fællespuljen;;;;;;
04/05/2020 22.53.35;49;Kvinde;Gymnasial uddannelse;Nej;Ungarn;Danmark;10;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;3;6;4;5;5;5;5;5;3;5;3;5;6;3;4;2;5;5;5;4;5;6;Trække dig / sladre;Donere til fællespuljen;;;;;;
05/05/2020 12.08.30;20;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;20;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Beholde pengene;3;3;2;1;3;3;2;2;2;2;3;3;2;2;1;3;1;3;4;3;2;2;4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2020 16.26.07;60;Kvinde;Folkeskole;Nej;Danmark;Danmark;60;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;5;2;3;6;5;3;4;6;6;4;4;3;5;6;6;3;3;4;4;6;5;6;6;Samarbejde / tie;Donere til fællespuljen;;;;;;
05/05/2020 17.35.15;49;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;49;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Donere til fællespuljen;5;4;4;3;4;5;2;3;4;3;4;3;4;5;2;3;4;4;6;5;4;5;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2020 20.20.28;55;Kvinde;Folkeskole;Nej;Danmark;Danmark;55;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Beholde pengene;6;6;3;3;4;5;2;3;3;2;5;4;5;5;2;4;5;5;6;6;5;5;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2020 20.31.41;55;Kvinde;Kandidat;Nej;Ungarn;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;4;4;3;5;5;4;5;3;5;4;3;2;3;4;5;4;2;5;3;4;5;4;3;3;Samarbejde / tie;Donere til fællespuljen;;;;;;
05/05/2020 20.34.32;22;Mand;Gymnasial uddannelse;Nej;Danmark;Danmark;22;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;3;3;4;2;4;3;2;4;1;3;3;5;4;3;3;2;2;1;3;4;3;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
05/05/2020 21.31.32;52;Kvinde;Bachelor;Nej;Danmark;Danmark;52;Januar, februar, marts, april, maj eller juni;Trække dig / sladre;Donere til fællespuljen;6;6;6;6;6;6;6;6;5;6;6;5;5;4;6;6;6;6;6;6;6;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2020 01.57.33;44;Mand;Kandidat;Nej;Rumænien;Danmark;9;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;Samarbejde / tie;Donere til fællespuljen;;;;;;
06/05/2020 09.35.32;17;Kvinde;Folkeskole;Nej;Ungarn;Danmark;10;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;4;5;4;5;4;5;3;4;3;5;5;5;4;2;4;4;4;4;5;4;3;6;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2020 09.39.28;18;Kvinde;Folkeskole;Nej;Danmark;Danmark;18;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;3;4;5;3;2;2;3;3;3;2;2;2;3;4;3;3;2;4;2;2;3;2;2;Trække dig / sladre;Donere til fællespuljen;;;;;;
06/05/2020 09.43.24;18;Mand;Folkeskole;Nej;Ungarn;Danmark;11;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;5;5;4;4;4;4;5;4;4;4;4;4;4;3;3;4;3;4;3;4;4;Samarbejde / tie;Donere til fællespuljen;;;;;;
06/05/2020 12.33.54;18;Kvinde;Folkeskole;Nej;Danmark;Danmark;18;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;4;2;4;3;5;6;5;3;5;2;3;5;1;6;2;1;1;4;5;1;4;3;3;Trække dig / sladre;Donere til fællespuljen;;;;;;
06/05/2020 16.15.52;39;Mand;Kandidat;Nej;Sri Lanka;Danmark;35;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;5;4;4;4;4;4;3;3;4;4;5;5;4;4;4;4;4;3;4;4;4;4;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2020 11.05.41;49;Mand;Kandidat;Nej;Tyskland;Sverige;13;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/05/2020 17.16.13;47;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;47;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;2;5;5;4;5;5;4;4;5;5;5;5;5;5;4;5;5;5;5;5;5;Samarbejde / tie;Donere til fællespuljen;;;;;;
07/05/2020 20.58.25;55;Mand;Bachelor;Ja;Rumænien;Danmark;13;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;4;3;5;5;5;3;4;4;4;4;5;4;4;3;4;4;3;4;4;Trække dig / sladre;Beholde pengene;;;;;;
08/05/2020 07.36.14;50;Kvinde;Gymnasial uddannelse;Nej;Rumænien;Danmark;12;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;6;4;5;5;4;4;4;5;4;4;4;4;3;3;3;3;3;3;3;3;4;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/05/2020 09.42.11;63;Kvinde;Bachelor;Nej;Danmark;Danmark;63;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;5;5;2;2;2;2;5;3;3;4;3;3;2;4;6;5;5;5;4;4;5;5;6;5;Samarbejde / tie;Donere til fællespuljen;;;;;;
10/05/2020 08.24.29;44;Kvinde;Gymnasial uddannelse;Nej;Danmark;Danmark;44;Januar, februar, marts, april, maj eller juni;Samarbejde / tie;Donere til fællespuljen;6;4;6;4;4;4;3;3;3;3;5;5;5;2;3;3;4;4;4;4;5;5;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/05/2020 16.28.42;54;Kvinde;Gymnasial uddannelse;Nej;Tyskland;Danmark;25;Juli, august, september, oktober, november eller december;;;;;;;;;;;;;;;;;;;;;;;3;3;1;6;5;4;3;4;4;6;4;4;3;2;2;3;5;1;1;4;3;6;5;4;Trække dig / sladre;Donere til fællespuljen;;;;;;
